business_name,technical_name,rule_name,object_name,start_line,start_column,end_line,end_column
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectLast25UsersWhoCommentedARecipe,2,1,31,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectPrivateMessages,2,1,153,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectRecipeCategory,1,1,27,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectSearchUser,2,1,66,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectUsersCookBookMain,2,1,77,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.CategoryPage_Article,1,1,54,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.GetArticleSearchResult,1,1,84,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.GetCategoryArticle,1,1,77,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.GetRecipeCategory,1,1,74,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.GetRecipeFirstAlphaLetterName,1,1,75,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.GetSortingRecipe,1,1,73,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectAllArticleByUser,2,1,83,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectDisplayAllMembers,2,1,71,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectDisplayAllMembersAdmin,2,1,145,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectGetUserArticleCommentByUser,2,1,102,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectPrivateMessages,2,1,153,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDPortal.dbo.spSelectUsersCookBookMain,2,1,77,1
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDRecipe.BL.PagerLinks.DisplayNumericPagerLink,175,9,402,10
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDRecipe.BL.Providers.User.ProviderShowAllUsersAdmin.GetAllUsers,90,9,235,10
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDRecipe.BL.Providers.User.ProviderUserDetails.FillUp,25,9,196,10
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,XDRecipe.Common.Utilities.Utility.GetSquentialNumber,597,9,669,10
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,admin_recipemanager.dgRecipe_ItemDataBound,619,5,902,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,articlesortoptionlinks.Page_Load,23,5,349,10
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,editprofile.Update_User,81,5,271,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,membershipmanagers.SortOptionLinks,458,5,806,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,popupuserprofile.Page_Load,28,5,304,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,registration.Add_User,50,5,239,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity,sortoptionlinks.Page_Load,19,5,599,6
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\popupcalendarpicker.js.constructCalendar,393,1,479,2
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\fullpage\js\fullpage.js.init,39,1,252,2
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\inlinepopups\editor_plugin_src.js._startDrag.Event_add_PARAM_3,376,35,463,5
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\inlinepopups\editor_plugin_src.js.open,41,10,281,4
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\media\js\media.js.generatePreview,521,1,628,2
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\table\editor_plugin_src.js._doExecCommand,212,20,1131,4
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\table\js\table.js.insertTable,5,1,234,2
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\themes\advanced\editor_template_src.js._nodeChanged,804,18,1004,4
Total Quality Index,Complexity - Algorithmic and Control Structure Complexity,Avoid Artifacts with High Cyclomatic Complexity (HTML5/Javascript),C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\themes\advanced\editor_template_src.js._nodeChanged.ed.dom_getParent_PARAM_2,907,25,1002,6
Total Quality Index,Efficiency - SQL and Data Handling Performance,Avoid Artifacts with High Depth of Nested Subqueries,XDPortal.dbo.spSelectEventWeekViewBeginAndEndDate,1,1,64,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.AdminManagerGetRecipe,1,1,227,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.CategoryPage_Article,1,1,54,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetArticleSearchResult,1,1,84,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetCategoryArticle,1,1,77,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetRecipeCategory,1,1,74,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetRecipeFirstAlphaLetterName,1,1,75,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetSearchResult,1,1,71,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.GetSortingRecipe,1,1,73,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spInsertUser,2,1,162,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectAllArticleByUser,2,1,83,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectDisplayAllMembers,2,1,71,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectDisplayAllMembersAdmin,2,1,145,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectGetAllRecipeByUser,2,1,67,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectGetAllRecipeCommentByUser,2,1,85,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectGetUserArticleCommentByUser,2,1,102,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectPrivateMessages,2,1,153,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spSelectUsersCookBookMain,2,1,77,1
Total Quality Index,Programming Practices - Structuredness,Avoid Artifacts with High Essential Complexity,XDPortal.dbo.spUpdateUser,2,1,178,1
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\CSS\cssreciaspx.css,1,1,1980,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\admin\managermain.aspx,1,1,169,1
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\default.aspx,1,1,71,1
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\alertbox.js.alert,324,12,326,6
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\alertbox.js.display,137,14,188,6
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\wz_tooltip.js,1,1,1301,11
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\wz_tooltip.js.Timer,1181,26,1185,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\wz_tooltip.js.UnTip,121,1,128,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\wz_tooltip.js.tt_ExtCallFncs,1288,1,1299,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\wz_tooltip.js.tt_OpReHref,890,1,899,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\plugins\compat2x\editor_plugin_src.js._getDOM,494,14,496,5
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\editable_selects.js,1,1,69,3
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\editable_selects.js.init,13,9,26,3
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js,1,1,199,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.addClassesToList,107,1,131,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.getBrowserHTML,43,1,56,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.getCSSSize,176,1,187,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.getColorPickerHTML,12,1,19,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.getSelectValue,92,1,99,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.isVisible,133,1,137,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.selectByValue,65,1,90,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.trimSize,172,1,174,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\form_utils.js.updateColor,21,1,23,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\mctabs.js,1,1,76,27
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\mctabs.js.displayTab,30,31,64,2
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\tinymce_editor\utils\validate.js,1,1,219,3
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.ArticleRepository.ArticleRepository,17,9,22,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Blogic.ActionProcedureDataProvider.get,41,13,44,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Blogic.GetRecipeImageFileNameForUpdate,243,7,253,8
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Blogic.UpdateUserLastLogin,1113,7,1122,8
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.EmailTemplate.EmailTemplate,31,9,36,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.EmailTemplate.GetAdminFromEmail.get,45,13,45,78
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.LoadDropDownListCategory.LoadDropDownCategory,22,9,36,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.DefaultPageSize.get,64,13,64,48
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.DisplayNumericPagerLink,404,9,547,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.GetBottomPagerCounterCustomPaging.get,107,13,133,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.GetInstance,38,9,41,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.GetTopRightPagerCounterCustomPaging.get,73,13,99,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.PagerLinks.PagerLinksParam,43,9,48,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.ProviderUserDetails.FillUp,25,9,196,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.ProviderUserDetails.ProviderUserDetails,21,9,23,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.UserFeaturesConfiguration.Fetch,71,9,108,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.UserIdentity.AdminUsername.get,158,13,158,83
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.UserIdentity.UserID.get,32,13,52,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.Providers.User.UserIdentity.UserName.get,60,13,78,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.RecipeRepository.RecipeRepository,17,9,22,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.BL.SiteConfiguration.GetConfiguration.get,85,13,90,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.BaseUrl.GetBaseUrl.get,22,13,31,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Caching.Cache.get,39,13,39,54
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Caching.CahceData,42,9,52,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Caching.PurgeCacheItems,54,9,73,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.EmailHelper.SendEmail,17,9,51,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.ExtendedCollection<T>.IEnumerable.GetEnumerator,769,9,772,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.FormatDate,42,9,49,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.FormatText,774,9,782,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.FormatTextForInput,784,9,811,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.GetIdentifyItemNewPopular,292,9,312,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.GetMonthNameOrAbbrev,32,9,40,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.GetSortOptionName,671,9,699,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.GetSortOptionOrderBy,752,9,770,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.IsNumeric,967,9,981,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.PageRedirect,250,9,288,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.SecureQueryString,913,9,937,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.SortOptionArrowImage.get,522,13,522,55
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.SortOptionArrowUpImage.get,530,13,530,53
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Common.Utilities.Utility.Val,813,9,862,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.DAL.DataAccess.ConnectionString.get,28,13,38,14
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.DAL.DataAccess.Execute,279,9,314,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.DAL.DataAccess.GetFromReader,127,9,161,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.DAL.DataAccess.GetInt32,206,9,246,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.DAL.DataAccess.GetIntScalarVal,248,9,277,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Comment.Comments.get,92,13,92,38
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Comment.ID.get,62,13,62,32
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Comment.ID.set,63,13,63,33
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.CookBook.CookBook,24,9,27,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.FriendsList.FriendsList,17,9,19,10
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.PrivateMessage.Subject.get,44,13,44,37
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Recipe.Author.set,137,13,137,37
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Recipe.CatID.get,141,13,141,35
Total Quality Index,Architecture - Object-level Dependencies,Avoid Artifacts with High Fan-In,XDRecipe.Model.Recipe.CatID.set,142,13,142,36
